item,type,score
EnoughHillHate,community,-3.968005585249437
BlueMidterm2018,community,-4.0267722187636315
progressive,community,-4.049169821633808
hillaryclinton,community,-4.093244418816282
EnoughLibertarianSpam,community,-4.355975956207288
democrats,community,-4.665832398642955
metacanada,community,3.7257306317234424
Mr_Trump,community,3.76612475985249
NoFapChristians,community,3.817550904079443
TrueChristian,community,4.093647084155996
The_Donald,community,4.370756175622924
Conservative,community,5.817498500945332
neoliberalism,word,-1.0846936931708995
bourgeois,word,-1.1277985412233986
reactionaries,word,-1.1626492237877886
fash,word,-1.2426951482068271
tankies,word,-1.4485806007645405
tankie,word,-1.6566710172896482
wills,word,1.5139523529767882
f-ggot,word,1.5681769695136556
sjws,word,1.6035862788379858
archive,word,1.6194930647723458
sjw,word,1.6527388338679418
degeneracy,word,1.7202066483348442
