Atlanta,baseball,Braves
Atlanta,nba,AtlantaHawks
Atlanta,nfl,falcons
Buffalo,hockey,sabres
Buffalo,nfl,buffalobills
Calgary,hockey,CalgaryFlames
Charlotte,nba,CharlotteHornets
Charlotte,nfl,panthers
Cleveland,baseball,WahoosTipi
Cleveland,nba,clevelandcavs
Cleveland,nfl,Browns
Columbus,hockey,BlueJackets
Dallas,baseball,TexasRangers
Dallas,hockey,DallasStars
Dallas,nba,Mavericks
Dallas,nfl,cowboys
Denver,baseball,ColoradoRockies
Denver,hockey,ColoradoAvalanche
Denver,nba,denvernuggets
Denver,nfl,DenverBroncos
Detroit,baseball,motorcitykitties
Detroit,hockey,DetroitRedWings
Detroit,nba,DetroitPistons
Detroit,nfl,detroitlions
Edmonton,hockey,EdmontonOilers
GreenBay,nfl,GreenBayPackers
LosAngeles,baseball,Dodgers
LosAngeles,baseball,angelsbaseball
LosAngeles,hockey,AnaheimDucks
LosAngeles,nba,LAClippers
LosAngeles,nba,lakers
LosAngeles,nfl,Chargers
LosAngeles,nfl,LosAngelesRams
Miami,baseball,letsgofish
Miami,hockey,FloridaPanthers
Miami,nba,heat
Miami,nfl,miamidolphins
Minneapolis,baseball,minnesotatwins
Minneapolis,nba,timberwolves
Minneapolis,nfl,minnesotavikings
NewOrleans,nba,NOLAPelicans
NewOrleans,nfl,Saints
Newark,hockey,devils
Portland,nba,ripcity
Sacramento,nba,kings
SaltLakeCity,nba,UtahJazz
SanJose,hockey,SanJoseSharks
Seattle,baseball,Mariners
Seattle,nfl,Seahawks
StLouis,baseball,Cardinals
StLouis,hockey,stlouisblues
TwinCities,hockey,wildhockey
Winnipeg,hockey,winnipegjets
baltimore,baseball,orioles
boston,baseball,redsox
boston,hockey,BostonBruins
boston,nba,bostonceltics
boston,nfl,Patriots
chicago,baseball,CHICubs
chicago,baseball,whitesox
chicago,hockey,hawks
chicago,nba,chicagobulls
chicago,nfl,CHIBears
cincinnati,baseball,Reds
cincinnati,nfl,bengals
houston,baseball,Astros
houston,nba,rockets
houston,nfl,Texans
indianapolis,nba,pacers
indianapolis,nfl,Colts
kansascity,baseball,KCRoyals
kansascity,nfl,KansasCityChiefs
memphis,nba,memphisgrizzlies
milwaukee,baseball,Brewers
milwaukee,nba,MkeBucks
montreal,hockey,Habs
nashville,hockey,Predators
nashville,nfl,Tennesseetitans
nyc,baseball,NYYankees
nyc,baseball,NewYorkMets
nyc,hockey,NewYorkIslanders
nyc,hockey,rangers
nyc,nba,GoNets
nyc,nba,NYKnicks
nyc,nfl,NYGiants
nyc,nfl,nyjets
oakland,baseball,OaklandAthletics
oakland,nfl,oaklandraiders
orlando,nba,OrlandoMagic
ottawa,hockey,OttawaSenators
philadelphia,baseball,phillies
philadelphia,hockey,Flyers
philadelphia,nba,sixers
philadelphia,nfl,eagles
phoenix,baseball,azdiamondbacks
phoenix,hockey,Coyotes
phoenix,nba,suns
phoenix,nfl,AZCardinals
pittsburgh,baseball,buccos
pittsburgh,hockey,penguins
pittsburgh,nfl,steelers
sanantonio,nba,NBASpurs
sandiego,baseball,Padres
sanfrancisco,baseball,SFGiants
sanfrancisco,nba,warriors
sanfrancisco,nfl,49ers
tampa,baseball,tampabayrays
tampa,hockey,TampaBayLightning
tampa,nfl,buccaneers
toronto,baseball,Torontobluejays
toronto,hockey,leafs
toronto,nba,torontoraptors
tulsa,nba,Thunder
vancouver,hockey,canucks
vegas,hockey,goldenknights
washingtondc,baseball,Nationals
washingtondc,hockey,caps
washingtondc,nba,washingtonwizards
washingtondc,nfl,Redskins
